"","ID_VIV","ID_HOG","ID_PER","ID_DEL","UPM","VIV_SEL","HOGAR","ND_TIPO","TD_TIPO","BPCOD","R_SEL","RESUL_H","SEXO","EDAD","AREAM_OCU","BP1_1","BP1_2C","BP1_3C","BP1_4","BP1_5","BP1_5A_1","BP1_5A_2","BP1_5A_3","BP1_5A_4","BP1_5A_9","BP1_6","BP1_7","BP1_8","BP1_9","BP1_10_1","BP1_10_2","BP1_10_9","BP1_11","BP1_12_1","BP1_12_2","BP1_12_3","BP1_12_4","BP1_12_5","BP1_12_9","BP1_13","BP1_14_1","BP1_14_2","BP1_14_3","BP1_14_4","BP1_14_9","BP1_15","BP1_16_1","BP1_16_2","BP1_16_3","BP1_16_4","BP1_16_9","BP1_17","BP1_18","BP1_19_1","BP1_19_2","BP1_19_3","BP1_19_4","BP1_19_5","BP1_19_6","BP1_19_7","BP1_19_8","BP1_20","BP1_21","BP1_22","BP1_23","BP1_24","BP1_25","BP1_26","BP1_27","BP1_28","BP1_29","BP1_30","BP1_31_01","BP1_31_02","BP1_31_03","BP1_31_04","BP1_31_05","BP1_31_06","BP1_31_07","BP1_31_08","BP1_31_99","BP1_32_1","BP1_32_2","BP1_32_3","BP1_32_4","BP1_32_5","BP1_32_9","BP1_33","BP1_34","BP1_35","BP1_36_01","BP1_36_02","BP1_36_03","BP1_36_04","BP1_36_05","BP1_36_06","BP1_36_07","BP1_36_08","BP1_36_09","BP1_36_10","BP1_36_11","BP1_36_99","BP2_1","BP3_1_01","BP3_1_02","BP3_1_03","BP3_1_04","BP3_1_05","BP3_1_06","BP3_1_07","BP3_1_08","BP3_1_09","BP3_1_10","BP3_1_11","BP3_1_12","BP3_1_99","BP3_2","BP4_1","BP5_1","BP5_1A_1","BP5_1A_2","BP5_1A_3","BP5_1A_4","BP5_2_1","BP5_2_2","BP5_2_3","BP5_3","BP6_1","BP6_2","BP6_3","BP7_1","FAC_DEL","FAC_DEL_AM","DOMINIO","ESTRATO","EST_DIS","UPM_DIS"
"1","0100271.01","0100271.01.01","0100271.01.01.02","0100271.01.01.02.05.1","0100271","01","01",1,2,"05","02","A",2,"23","14","11","01","001",1,3,NA,NA,NA,NA,NA,1,1,2,2,1,0,0,3,1,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"04",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0000100","0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000606","000606","U",1,"0001","00087"
"2","0100149.02","0100149.02.01","0100149.02.01.04","0100149.02.01.04.02.1","0100149","02","01",1,1,"02","04","A",1,"19","14","11","01","001",4,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,"04",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"9999999","0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000242","000242","U",2,"0001","00046"
"3","0102068.05","0102068.05.01","0102068.05.01.01","0102068.05.01.01.05.1","0102068","05","01",1,1,"05","01","A",2,"38","14","12","01","001",3,1,NA,NA,NA,NA,NA,1,1,2,3,1,0,0,4,1,0,0,0,0,0,2,0,0,0,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"04",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"0000000","0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000279","000279","U",2,"0001","00006"
"4","0100255.05","0100255.05.01","0100255.05.01.02","0100255.05.01.02.02.1","0100255","05","01",1,1,"02","02","A",2,"40","14","02","01","001",3,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,"04",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0001500","9999999",0,0,0,0,0,1,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000198","000198","U",3,"0002","00174"
"5","0100461.05","0100461.05.01","0100461.05.01.01","0100461.05.01.01.04.1","0100461","05","01",1,2,"04","01","A",1,"67","14","04","01","001",1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,6,NA,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,"9999999","0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0,0,0,0,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000255","000255","U",4,"0003","00229"
"6","0102025.05","0102025.05.01","0102025.05.01.02","0102025.05.01.02.02.1","0102025","05","01",1,1,"02","02","A",2,"38","14","06","01","001",4,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,"04",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0002000","0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000242","000242","U",2,"0001","00045"
"7","0101087.03","0101087.03.01","0101087.03.01.03","0101087.03.01.03.05.1","0101087","03","01",1,1,"05","03","A",2,"19","14","08","01","001",4,1,NA,NA,NA,NA,NA,1,1,2,1,1,0,0,3,1,0,0,0,0,0,2,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"04",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0008000","0000000",0,0,1,0,0,0,0,1,1,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000618","000618","U",2,"0001","00080"
"8","0100462.05","0100462.05.01","0100462.05.01.03","0100462.05.01.03.10.1","0100462","05","01",1,1,"10","03","A",2,"19","14","99","01","001",9,9,0,0,0,0,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"99",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"9999999","9999999",0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000707","000707","U",4,"0003","00243"
"9","0100149.02","0100149.02.01","0100149.02.01.04","0100149.02.01.04.03.1","0100149","02","01",1,1,"03","04","A",1,"19","14","02","01","001",3,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,"04",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000242","000242","U",2,"0001","00046"
"10","0100383.01","0100383.01.01","0100383.01.01.01","0100383.01.01.01.01.1","0100383","01","01",1,1,"01","01","A",1,"42","14","09","01","001",3,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,"0010000","0000000",1,1,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000221","000221","U",2,"0001","00071"
"11","0100257.03","0100257.03.01","0100257.03.01.01","0100257.03.01.01.03.1","0100257","03","01",1,1,"03","01","A",2,"54","14","09","01","001",3,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,"04",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"9999999","0000000",0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000270","000270","U",3,"0002","00093"
"12","0100271.01","0100271.01.01","0100271.01.01.02","0100271.01.01.02.05.2","0100271","01","01",2,2,"05","02","A",2,"23","14","04","01","001",1,1,NA,NA,NA,NA,NA,1,1,2,4,1,0,0,8,1,0,0,0,0,0,2,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"04",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0000300","0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000606","000606","U",1,"0001","00087"
"13","0100471.05","0100471.05.01","0100471.05.01.01","0100471.05.01.01.02.1","0100471","05","01",1,1,"02","01","A",1,"66","14","03","01","001",4,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,"04",NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,"0001000","0000000",1,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000245","000245","U",3,"0002","00127"
"14","0102002.04","0102002.04.01","0102002.04.01.01","0102002.04.01.01.11.1","0102002","04","01",1,1,"11","01","A",2,"40","14","05","01","001",2,2,NA,NA,NA,NA,NA,1,1,1,2,1,1,0,8,0,0,1,0,0,0,NA,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,NA,NA,NA,1,6,NA,4,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,"0002000","0000500",0,1,0,0,0,0,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000231","000231","U",2,"0001","00061"
"15","0100985.02","0100985.02.01","0100985.02.01.03","0100985.02.01.03.02.1","0100985","02","01",1,2,"02","03","A",1,"30","14","02","01","001",4,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,"04",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"0002000","0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000244","000244","U",3,"0002","00129"
"16","0102025.01","0102025.01.01","0102025.01.01.01","0102025.01.01.01.03.1","0102025","01","01",1,1,"03","01","A",1,"45","14","12","01","001",3,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,"03",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000242","000242","U",2,"0001","00045"
"17","0100146.04","0100146.04.01","0100146.04.01.04","0100146.04.01.04.01.1","0100146","04","01",1,1,"01","04","A",2,"28","14","09","01","001",3,4,NA,NA,NA,NA,NA,1,1,1,1,1,0,0,9,1,0,0,0,0,0,2,0,0,0,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,6,NA,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,5,NA,NA,0,1,1,1,1,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000218","000218","U",3,"0002","00158"
"18","0102025.05","0102025.05.01","0102025.05.01.02","0102025.05.01.02.09.1","0102025","05","01",1,1,"09","02","A",2,"38","14","12","01","001",1,2,0,1,0,0,0,1,1,2,1,1,0,0,9,1,0,0,0,0,0,2,0,0,0,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"04",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,0,0,3,NA,NA,NA,NA,"000726","000726","U",2,"0001","00045"
"19","0100471.03","0100471.03.01","0100471.03.01.01","0100471.03.01.01.09.1","0100471","03","01",1,2,"09","01","A",2,"30","14","07","01","001",2,2,0,1,0,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"02",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"0000000","0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,0,0,3,NA,NA,NA,NA,"000245","000245","U",3,"0002","00127"
"20","0102106.04","0102106.04.01","0102106.04.01.01","0102106.04.01.01.13.1","0102106","04","01",1,1,"13","01","A",2,"63","14","07","01","001",2,1,0,0,1,0,0,1,1,2,1,1,0,0,6,1,0,0,0,0,0,1,0,0,0,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"04",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"0000000","0000000",1,1,1,1,1,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"000419","000419","U",4,"0003","00255"
"21","0100985.02","0100985.02.01","0100985.02.01.03","0100985.02.01.03.03.1","0100985","02","01",1,1,"03","03","A",1,"30","14","12","01","001",4,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,"03",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0000500","0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000244","000244","U",3,"0002","00129"
"22","0102068.05","0102068.05.01","0102068.05.01.01","0102068.05.01.01.08.1","0102068","05","01",1,1,"08","01","A",2,"38","14","01","01","001",2,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"09",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0000600","0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000279","000279","U",2,"0001","00006"
"23","0100377.05","0100377.05.01","0100377.05.01.03","0100377.05.01.03.09.1","0100377","05","01",1,1,"09","03","A",2,"24","14","12","01","001",1,2,0,1,0,0,0,1,1,2,1,1,0,0,9,1,0,0,0,0,0,2,0,0,0,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"07",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,1,1,1,1,1,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,"000742","000742","U",2,"0001","00035"
"24","0100377.03","0100377.03.01","0100377.03.01.01","0100377.03.01.01.08.1","0100377","03","01",1,1,"08","01","A",2,"56","14","04","01","001",1,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"04",NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,"0004100","0000000",1,1,1,1,1,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000494","000494","U",2,"0001","00035"
"25","0100271.02","0100271.02.01","0100271.02.01.02","0100271.02.01.02.07.1","0100271","02","01",1,1,"07","02","A",2,"25","14","10","01","001",2,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"09",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0002500","0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000242","000242","U",1,"0001","00087"
"26","0100255.04","0100255.04.01","0100255.04.01.05","0100255.04.01.05.02.1","0100255","04","01",1,1,"02","05","A",2,"24","14","10","01","001",4,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,"06",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"0002000","0000000",0,1,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000198","000198","U",3,"0002","00174"
"27","0101383.03","0101383.03.01","0101383.03.01.03","0101383.03.01.03.02.1","0101383","03","01",1,1,"02","03","A",2,"21","14","06","01","001",4,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,"04",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"0002000","0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000241","000241","U",2,"0001","00048"
"28","0100432.01","0100432.01.01","0100432.01.01.03","0100432.01.01.03.02.2","0100432","01","01",2,2,"02","03","A",1,"19","14","06","01","001",2,5,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,"07",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0000800","0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000243","000243","U",2,"0001","00043"
"29","0101087.04","0101087.04.01","0101087.04.01.03","0101087.04.01.03.02.1","0101087","04","01",1,1,"02","03","A",1,"34","14","04","01","001",3,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,"03",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0002500","0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000206","000206","U",2,"0001","00080"
"30","0102002.01","0102002.01.01","0102002.01.01.01","0102002.01.01.01.11.1","0102002","01","01",1,1,"11","01","A",2,"33","14","05","01","001",2,3,NA,NA,NA,NA,NA,1,1,1,3,1,1,0,8,0,0,1,0,0,0,NA,1,1,0,0,0,1,0,0,1,0,0,2,1,1,1,0,0,0,0,0,0,1,NA,NA,NA,1,5,NA,3,3,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,"0000000","0002000",1,1,1,1,1,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000231","000231","U",2,"0001","00061"
"31","0100985.02","0100985.02.01","0100985.02.01.03","0100985.02.01.03.04.1","0100985","02","01",1,1,"04","03","A",1,"30","14","10","01","001",2,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,"04",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"0010000","0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000244","000244","U",3,"0002","00129"
"32","0100408.02","0100408.02.01","0100408.02.01.02","0100408.02.01.02.04.1","0100408","02","01",1,1,"04","02","A",2,"50","14","07","01","001",4,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,"01",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0002000","0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000243","000243","U",2,"0001","00001"
